name,cafeurl,reviewcnt,rating,pricerng,postcode,lat,long,rev_Excellent,rev_Very good,rev_Average,rev_Poor,rev_Terrible,topcat,borough,price_num
Kennington Lane Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2654773-Reviews-Kennington_Lane_Cafe-London_England.html,1858,5.0,£,SE11 5QY,51.4881,-0.113125,1270,89,14,5,15,Excellent,Lambeth,1
"Coffee, Cake & Kisses",https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7721156-Reviews-Coffee_Cake_Kisses-London_England.html,289,5.0,££ - £££,W1T 5NN,51.5085,-0.1257,245,23,4,1,0,Excellent,Camden,2
Wassouf Lounge,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d6619139-Reviews-Wassouf_Lounge-London_England.html,234,5.0,£,W14 0SJ,51.49550000000001,-0.21798,187,12,6,3,3,Excellent,Hammersmith and Fulham,1
Drury 188-189,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d11931040-Reviews-Drury_188_189-London_England.html,720,5.0,££ - £££,WC2B 5QD,51.5085,-0.1257,516,64,8,10,2,Excellent,Camden,2
Albertini Restaurant,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3915265-Reviews-Albertini_Restaurant-London_England.html,864,4.5,££ - £££,NW1 1JH,51.52988181818182,-0.1471818181818182,553,137,23,9,10,Excellent,Camden,2
Bond St. Tea Rooms,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10436580-Reviews-Bond_St_Tea_Rooms-London_England.html,576,4.5,££ - £££,W1C 1BY,51.5085,-0.1257,387,70,17,8,11,Excellent,Westminster,2
Monmouth Coffee Company,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2412258-Reviews-Monmouth_Coffee_Company-London_England.html,630,4.5,££ - £££,SE1 9AB,51.49874615384616,-0.0930384615384615,358,110,23,5,6,Excellent,Southwark,2
49 Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4104427-Reviews-49_Cafe-London_England.html,333,4.5,£,WC1N 1AP,51.5085,-0.1257,188,54,14,2,8,Excellent,Camden,1
Exmouth Coffee Co.,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3782226-Reviews-Exmouth_Coffee_Co-London_England.html,574,4.5,£,E1 7QX,51.51302727272727,-0.0617727272727272,234,76,22,8,5,Excellent,Tower Hamlets,1
Afternoon Tea At Cafe Royal,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d6778719-Reviews-Afternoon_Tea_At_Cafe_Royal-London_England.html,645,4.5,££££,W1B 4DY,51.5085,-0.1257,403,84,57,18,12,Excellent,Westminster,3
Attendant Coffee Roasters,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4065362-Reviews-Attendant_Coffee_Roasters-London_England.html,469,4.5,£,W1W 6DY,51.5085,-0.1257,257,111,18,1,7,Excellent,Westminster,1
Le Signore,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2371556-Reviews-Le_Signore-London_England.html,169,4.5,£,SW1E 5HY,51.5085,-0.1257,110,26,3,3,1,Excellent,Westminster,1
Over Under Earl's Court,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12132470-Reviews-Over_Under_Earl_s_Court-London_England.html,300,4.5,£,SW5 9RD,51.487,-0.1909999999999999,181,42,9,4,8,Excellent,Kensington and Chelsea,1
Monmouth Coffee Company,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d731156-Reviews-Monmouth_Coffee_Company-London_England.html,588,4.5,£,WC2H 9EU,51.5085,-0.1257,348,100,24,10,16,Excellent,Camden,1
Kaffeine,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1552112-Reviews-Kaffeine-London_England.html,395,4.5,£,W1W 7QJ,51.5085,-0.1257,241,67,29,10,4,Excellent,Westminster,1
Crystal Moon Lounge,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2233501-Reviews-Crystal_Moon_Lounge-London_England.html,467,4.5,££££,SW1A 2BD,51.5018,-0.1328,301,84,31,17,9,Excellent,Westminster,3
L'Elysee Artisan Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7708481-Reviews-L_Elysee_Artisan_Cafe-London_England.html,140,5.0,££ - £££,W14 0QH,51.49550000000001,-0.21798,105,20,1,0,0,Excellent,Hammersmith and Fulham,2
The Drawing Room at Brown's Hotel,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1422085-Reviews-The_Drawing_Room_at_Brown_s_Hotel-London_England.html,1063,4.0,££££,W1S 4BP,51.5085,-0.1257,555,153,130,62,29,Excellent,Westminster,3
Bloomsbury Coffee House,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2509818-Reviews-Bloomsbury_Coffee_House-London_England.html,321,4.5,££ - £££,WC1H 9RE,51.5085,-0.1257,134,70,14,5,4,Excellent,Camden,2
The Corner Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1929349-Reviews-The_Corner_Cafe-London_England.html,194,4.5,£,SE1 7JY,51.49874615384616,-0.0930384615384615,106,32,6,1,2,Excellent,Lambeth,1
Whittard of Chelsea Covent Garden Tea Bar,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10838536-Reviews-Whittard_of_Chelsea_Covent_Garden_Tea_Bar-London_England.html,322,4.5,££ - £££,WC2E 8RB,51.5085,-0.1257,129,38,16,9,9,Excellent,Westminster,2
London Grind,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7755677-Reviews-London_Grind-London_England.html,626,4.0,££ - £££,SE1 9RA,51.49874615384616,-0.0930384615384615,318,146,49,42,36,Excellent,Southwark,2
Barbarellas,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d2307141-Reviews-Barbarellas-London_England.html,212,4.5,£,SE1 7AE,51.49874615384616,-0.0930384615384615,105,48,9,0,3,Excellent,Lambeth,1
Maroush Bakehouse,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3535315-Reviews-Maroush_Bakehouse-London_England.html,634,4.5,££ - £££,SW5 9RH,51.487,-0.1909999999999999,317,117,18,9,20,Excellent,Kensington and Chelsea,2
PAUL Gloucester Road,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1019003-Reviews-PAUL_Gloucester_Road-London_England.html,468,4.5,£,SW7 4SS,51.49598333333333,-0.1762833333333333,182,119,16,4,9,Excellent,Kensington and Chelsea,1
Algerian Coffee Stores,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1982142-Reviews-Algerian_Coffee_Stores-London_England.html,181,5.0,£,W1D 4PB,51.5085,-0.1257,139,22,3,2,2,Excellent,Westminster,1
Beppe's Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3726212-Reviews-Beppe_s_Cafe-London_England.html,130,5.0,£,EC1A 9HY,51.5085,-0.1257,98,15,2,1,1,Excellent,City and Hackney Teaching,1
carpo piccadilly,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4493582-Reviews-Carpo_piccadilly-London_England.html,332,4.5,££ - £££,W1J 0DE,51.5085,-0.1257,179,49,10,9,9,Excellent,Westminster,2
Pret a Manger,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3177152-Reviews-Pret_a_Manger-London_England.html,254,4.5,£,EC3R 5AS,51.5114,-0.0855,57,54,9,0,2,Excellent,City and Hackney Teaching,1
Cup Tales,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d14765142-Reviews-Cup_Tales-London_England.html,89,5.0,£,N22 8NG,51.6,-0.1167,85,1,1,1,0,Excellent,Haringey Teaching,1
Istanbul Cafe & Bistro,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4583651-Reviews-Istanbul_Cafe_Bistro-London_England.html,350,4.5,££ - £££,W1W 5PP,51.5085,-0.1257,159,91,17,7,14,Excellent,Westminster,2
Ole & Steen St James,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d11794001-Reviews-Ole_Steen_St_James-London_England.html,574,4.5,£,SW1Y 4RP,51.5085,-0.1257,263,126,33,19,23,Excellent,Westminster,1
Maitre Choux South Kensington,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7907009-Reviews-Maitre_Choux_South_Kensington-London_England.html,322,4.5,££££,SW7 3ES,51.49598333333333,-0.1762833333333333,147,54,32,10,11,Excellent,Kensington and Chelsea,3
Bageriet Swedish Bakery,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4975705-Reviews-Bageriet_Swedish_Bakery-London_England.html,213,4.5,££ - £££,WC2E 9EA,51.5085,-0.1257,139,32,9,1,8,Excellent,Westminster,2
The Muffin Man Tea Shop,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1134350-Reviews-The_Muffin_Man_Tea_Shop-London_England.html,1067,4.0,££ - £££,W8 6TA,51.501125,-0.1985,341,281,107,39,35,Excellent,Kensington and Chelsea,2
Afternoon Tea at The Promenade,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d6788105-Reviews-Afternoon_Tea_at_The_Promenade-London_England.html,231,4.5,££££,W1K 1QA,51.5085,-0.1257,152,23,21,15,5,Excellent,Westminster,3
